MUTUALIA
"INSTITUTO GERONTOLOGICO ASTUR, S.L."
"RESIDENCIA GERIATRICA LES FONTS, S.L."
"ALCUNEZA, S.A."
"PRACTISER, S.L."
"BELLAVISTA CARE, S.L."
"RIOCALDO INVERSIONES, S.L."
"HOTEL MARÍA LUISA, S.L."
"HOSPITALES COSAGA, S.L."
"TAMARAGUA, S.L."
"RESIDENCIA GUADALMAR, S.A."
"HOSPITAL LA MILAGROSA, S.A."
"CLINICA INMACULADA CONCEPCION, S.A."
"CENTRO DE ASISTENCIA AL MAYOR, S.A."
"HOSPITAL CIUDAD DE TELDE, S.L."
"ÉLITE DENTAL, S.A."
"CENTRO RESIDENCIAL CARACILLO, S.L."
"ALACAI, S.L."
"VALDEPASTOR, S.L."
"ROMAN ACEVEDO E HIJOS, S.L."
"RESIDENCIA VALDEOLMILLOS SALUD, S.L. (REVALSA)"
"RESIDENCIA SANTA MARIA DEL CAMINO, S.L."
"RESIDENCIA NTRA.SRA.DE LA ANTIGUA, S.A."
"CARSUMAR IBERICA, S.L."
"CENTRO GERIATRICO MADRE MARAVILLAS, S.A."
"ANAJOEN GUADARRAMA, S.L."
"MOREJON, S.A."
"APOLA, S.L."
"GRUPO INMOBILIARIO SOSA, S.L."
"FLORJE, S.L."
"ALONSO QUIJANO, S.L."
"RESIDENCIA ARCIPRESTE DE HITA, S.L."
"GERIATRICA SIRIGO, S.L."
"NUEVO HABITAT EMPRESARIAL, S.A."
"GARCIE CASARES, S.L."
"RESIDENCIA GLADIOLOS, S.L."
"RESIDENCIAL EL CASTILLO, S.L."
"REMAR RESIDENCIAS, S.L."
"RESIDENCIA TORRE REAL, S.L."
"RESIDENCIA NUESTRA SEÑORA  DE LA PIEDAD, S.L."
"RESIDENCIA GERIATRICA LA ZARZUELA, S.L."
"BORENCO, S.A."
GRUP SAGESSA - GRUPO
"HOTEL RESIDENCIA VIRGEN DE GRACIA, S.L."
"RDM 34 INVERSIONES, S.L."
"GRUPO 5 ACCIÓN Y GESTIÓN SOCIAL, S.A. "
"BEORTEK, S.A."
"INSTITUT CATALA D'ASSISTENCIA DOMICILIARIA, S.L. (ICAD)"
"GERIVEL, S.L."
