MUTUALIA
"MARÍA RIFA, S.L."
"RESIDENCIA IGUALADA, S.L."
"ANTONIO LÓPEZ CANO, S.L.  - GRUPO MÉDICO LÓPEZ CANO"
"UNIQ M234, S.L."
"GESTIO DE RESIDENCIES, S.L."
"GRUP SERVI CENTRE TC, S.L."
"RESIDENCIA LA TORRETA DE PIERA, S.L."
"RESIDENCIA LA TORRETA DE CORBERA, S.L."
FUNDACIÓ PRIVADA SANT ANDREU DE CASTELLCIR
"SHAREDX CARE, S.L."
"CUSAN SANT POL, S.L."
"LLAR CARME, S.L."
GRUPO GENERALIFE
CASA ASILL PARROQUIAL DE LA INMACULADA - FUNDACIÓ LA INMACULADA
"DALMAU GARCÍA, C.B."
"ESTUDIOS Y RECURSOS GLOBALES, S.L.U."
"MAR ASSET, S.L."
"TRES MAGNOLIAS RESIDENCIAL, S.A."
"NUGAR LA GRANJA, S.L."
"SERVICIOS GERIÁTRICOS SOTIELLO, S.L."
"BEL EDAD DE SANT FOST, S.L."
"SENIOR ASISTENCIA INTEGRAL, S.L."
GRUPO GERIAL
"AVITASG, S.L."
"GEROASISTENCIA MALLECINA, S.L."
"CAN SUNYER INVERSIONS, S.A.U."
"RESIDENCIAL SIERRA ALTA, S.L."
"LABORATORIOS E INDUSTRIAS NORIEGA, S.L."
"SOCIALCOBEX, S.L. (GRUPO PUENTE)"
FUNDACIÓN SCHOLA
ETXEKIDE SOCIEDAD COOPERATIVA DE INICIATIVA SOCIAL
"SALZILLO SERVICIOS INTEGRALES, S.L."
JULIO ZAMORA BERMÚDEZ
" DENTAL RESIDENCY, S.L."
"RESIDENCIA GERIÁTRICA SAN AGUSTIN, S.L."
ARZOBISPADO DE TOLEDO
"CLINICA MEDICA COMARCAL, S.L. - CLÍNICA ATENEA"
"RESIDENCIAL OUTRA BANDA, S.L."
"RESIDENCIA PARA ANCIANOS CASA VASCA, S.L."
"PIUPAL 2015, S.L."
"RESIDENCIA VIRGEN MILAGROSA, S.C."
"RESIDENCIA LOS JARDINES DE LA CERCA, S.L."
"AYUDAN2, S.L."
"RESIDENCIA PIÑUDI, S.L."
"GUADALQUIVIR ASISTENCIAS, S.L."
"OSUNALU, S.L."
"RESIDENCIA DE MAYORES ALJARAFE, S.L."
HERMANAS DE LA COMPAÑIA DE LA CRUZ CURIA GENERAL
"NOLISANAS97, S.L."
FUNDACIÓN MONTETABOR
"HOGAR DE MAYORES EL TULIPÁN, S.L."
"AURORA, S.C."
"RESIDENCIA MARÍA DEL TABOR, S.L."
FUNDACIÓ GUÍXOLS SURÍS
"INICIATIVAS DE GESTIÓN SOCIAL, S.L."
"CLEARWATER PRIVATE INVESTMENT, S.L."
"HÁBITAT GERIÁTRICO, S.L."
"GENESENIOR, S.L."
"RESIDENCIA SANTA GREGORIA, S.L."
GRUPO GARCINIA 12 
"CYTIVA SPAIN, S.L."
ACJA ASISTENCIA SOCIAL S.L. (GRUPO TAR 2022)
OBISPADO DE LEÓN
 RESIDENCIAS ARAMO (GRUPO)
GRUPO VILLAMOR
"GARBIALDI, S.A."
"SIRIMIRI SERVICIOS SOCIO-CULTURALES, S.L."
"VÍA LÁCTEA PROYECTOS, S.L."
FUNDACIÓN CASA MISERICORDIA PAMPLONA
"CENTRO MÉDICO VIRGEN DE LA CARIDAD, S.L."
"ZAINTZEN, S.A."
"SENEX BIENESTAR, S.L."
"GERONTORIOJA GLOBAL, S.L."
FUNDACIÓN ASILO SAN VICENTE DE PAÚL
ASOCIACIÓN REMAR ESPAÑA
"RESIDENCIA NOVA ALEGRÍA, S.L."
"RESIDENCIA ADIMENDU, S.L."
"SERASGER ÁLAVA, S.L."
"JALÓN ASISTENCIAL, S.L."
"ARAMO NALÓN, S.L."
FUNDACIÓN ELDER
"CJ GESTION RESIDENCIAL, S.L."
RESIDENCIA DOMUS AUREA S.L.
CENTRO DE MAYORES VIRGEN DE DUERO S.L.
CENTRO DE MAYORES AUTILLA S.L.
"PUNTA UMBRÍA RESORT SENIOR, S.L."
"BARA BAHÍA, S.L."
"GERONTALIA, S.L."
" BARROMARCO, S.L."
"RESIDENCIAL VIRGEN DEL CAMPO, S.L."
"AZZAM VIVIENDA, S.L."
"GESALUD MEDITERRÁNEO, S.L."
"ADITNALTA, S.L."
"ARGENTA CAPITAL, S.L."
"WAKSMAN RESIDENCIAS, S.L."
"ASIGER VALENTIA, S.L."
"ASIGER LA PALOMA, S.L."
"RESIDENCIA COLINAS DE SAN ANTONIO, S.L."
"RESIDENCIA TERCERA EDAD PADRE DAMIÁN, S.L."
"GERISERVIS, S.L."
"DESARROLLO INTEGRAL SOCIOSANITARIO CONCESOL, S.L."
"L'HOSPITALET RESIDENCIA D'AVIS, S.L."
"PLATAFORMAS SANITARIAS DEL SUR, S.L."
"CENTRE DE REPRODUCCIÓ ASISTIDA DEL VALLÈS, S.L."
RESIDENCIA EL ARENAL S.L.
"RESIDENCIA EL CHALET, S.L."
"TOT GENT MAJOR, S.L."
"JAMAVER RESIDENCIA, S.L."
"ASISTENCIA Y GESTIONES SOCIALES, S.L."
ARZOBISPADO DE SANTIAGO DE COMPOSTELA
AYUNTAMIENTO TORREJONCILLO DEL REY
ILEX SERVICIOS GERIÁTRICOS
"FIGUERES SALUD, S.L."
"SERVIGER XXI JARDINES DE LLIRIA, S.L."
"RESIDENCIAL VILLA DE SOMIÓ, S.L."
"ARAVIS OFTALMOLOGÍA, S.L."
"CENTRE RESIDENCIAL DEL BAGES, S.L."
FUNDACIÓ CASAL DE CURACIÓ
"GAURKO IZADI SERVICIOS TERCERA EDAD, S.COOP"
"ARASTI BARCA M.A., S.L."
"ALBIR CENTER, S.L."
AGRUPACIÓ EUROPEA DE COOPERACIÓ INTERNACIONAL HOSPITAL DE LA CERDANYA
"RESIDENCIA JESÁN, S.L."
"EL MANANTIAL DEL ANDARAX, S.L."
"HESTIA ELDER HEALTHCARE, S.L."
PARROQUIA INMACULADA CONCEPCIÓN
"GERONTO VILLA, S.L."
" BEGITEK CLINICA OFTALMOLÓGICA, S.L."
FRANCISCANAS MISIONERAS DE LA MADRE DEL DIVINO PASTOR
HERMANAS SALESIANAS DEL SAGRADO CORAZÓN DE JESÚS
OBISPADO DE CARTAGENA
OBISPADO DE TORTOSA
CONGREGACIÓN HIJAS DE SAN CAMILO
FUNDACIÓN HOSPITAL SAN JACINTO Y NUESTRA SEÑORA DE LOS DOLORES
OBISPADO DE CALAHORRA
"MAIRIM 2010, S.L."
"RESIDENCIAL AZAHAR DEL MEDITERRÁNEO, S.A."
"GERIÁTRICO MAYO, S.L."
ASOCIACIÓN FAMILIARES ALZHEIMER SANTA MARINA DEL REY
"CONGARBUR, S.L."
"RESIDENCIA DEL HOSPITAL DE LLEVANT, S.L."
"HOSPITAL DE LLEVANT, S.L."
"SERVEI I CURES DE GENT GRANT, S.L."
FUNDACIÓN LAS ERAS
"FUNDACIÓN PÍA AUTÓNOMA DE LAS CONGREGACIONES MARIANAS, LA INMACULADA Y SAN JOSÉ"
MISIONERAS NUESTRA SEÑORA DEL PILAR
HERMANAS DE LA CARIDAD DE SANTA ANA
"GERIÁTRICO MANACOR, S.A."
"CENTRO RADIODIAGNÓSTICO SERRANÍA, S.L."
"RESIDENCIAS MONSOL, S.L."
"CLÍNICA OFTALMOLÓGICA DOCTOR VILA, S.L."
ACESCAM CASTILLA LA MANCHA
OBISPADO DE CUENCA
OBRA MISIONERA DE JESÚS Y MARÍA
HERMANAS JOSEFINAS DE LA SANTÍSIMA TRINIDAD
RELIGIOSAS MISIONERAS INMACULADA CONCEPCIÓN
CARMELITAS MISIONERAS TERESIANAS
MISIONERAS DE LA CARIDAD Y DE LA PROVIDENCIA
FUNDACIÓN SAN CARLOS Y SANTA MARGARITA
PARROQUIA DE LOS SANTOS REYES
FUNDACIÓN HOSPITAL DE LA REAL PIEDAD
SIERVAS DE MARÍA
CONGREGACIÓN TERCIARIAS CAPUCHINAS
ORDEN SANTÍSIMA TRINIDAD
FUNDACIÓN AMIGOS DE LOS MAYORES
INSTITUTO SECULAR CRUZADA EVANGÉLICA
INSTITUCIÓN BENÉFICA DEL SAGRADO CORAZÓN D JESÚS
CONGREGACIÓN DE RELIGIOSAS DEL SAGRADO CORAZÓN
FUNDACIÓN RESIDENCIA EL AMPARO
"RESIDENCIA GERIÁTRICA BARAJAS DE MELO, S.L."
"ONECHA TREJO, S.L."
"RESIDENCIAL ZÚÑIGA, S.L."
FUNDACIÓN VIANORTE-LAGUNA
FUNDACIÓN LUISA Y NIEVES FIDALGO MORALES
AYUNTAMIENTO DE DUEÑAS
"HERRERUELA SERVICIOS GERIÁTRICOS, S.L."
"RESIDENCIA LOMBARDIA, S.L."
CENTRO DE REHABILITACIÓN DIONISIA PLAZA MÉDICO PSICOPEDAGÓGICO S.A.
"CENTRO RESIDENCIAL RUIZ Y LA TORRE, S.L.L."
"RESIDENCIAL VERSALLES, S.L."
"SAN JORGE CENTER, S.L."
"SERINTE TERCERA EDAD, S.L."
CONSORCI SOCIOSANITARI D'IGUALADA
"AMANECER-DUERO, S.L."
"ORDAZ HERNANDEZ JUAN LUIS, S.L.N.E."
"GRUP REALEZ HOME, S.L."
"SERVICIOS ASISTENCIALES HIGUERA DE VARGAS, SOCIEDAD COOPERATIVA"
"FRISAL SERVEIS PER LA GENT GRAN, S.L."
PIA UNIÓN DE LA FRATERNIDAD DE CRISTO
FUNDACIÓN RESIDENCIA SAN MARTÍN
HERMANDAD DE LA SANTA CARIDAD
FUNDACIÓN CARMEN BELLIDO
"PROMOCIÓN DE SALUD AL MAYOR, S.L."
FUNDACION PRIVADA CASAL D'AVIS ESPLUGUES
"RESIDENCIA EL BALCON, S.L."
"PRO MAIOREM LIMPIAS, S.L."
FUNDACION SAN CANDIDO
