"BRICOINSA, S.L."
"FERRETERÍA TERUEL GESTIÓN DE ARTÍCULOS INDUSTRIALES, S.L."
"MATERIALES DE CONSTRUCCIÓN ENRIQUE PÉREZ, S.L."
"MATERIALES DE CONSTRUCCIÓN ORTEGA AVILÉS, S.L."
"SUCOSAN CONSTRUCCIONES, S.L."
"SUMINISTROS SON AMONDA, S.L."
"YESOS ARANDA, S.A."
"SINELEC PENEDES, S.L."
"COMERCIAL BAVECAR, S.L."
SOPORTES TÉCNICOS UNIVERSALES S.L. (TPB TOP PORZELANIK BARCELONA)
"MACONS BERGANTES, S.L."
"MATERIALES MARÍN, S.L."
"MATERIALS PER LA CONSTRUCCIÓ CARMEN, S.L."
"AIDHOS ARQUITEC, S.A."
"NOVELEC PITIUSES, S.L."
"NOVELEC SEGURA, S.L."
"NOVELEC COSTA BRAVA, S.L."
"SINELEC NORD, S.L."
"NOVELEC GARROTXA, S.L."
"NOVELEC OSONA, S.L."
"NOVELEC DISTRIBUCIÓN GETAFE, S.L."
"NOVELEC ERESMA, S.L."
"NOVELEC DUERO, S.L."
"EUROCEM MORTEROS, S.L."
"P14 CIMENTACIONES, S.L."
"SESAELEC MADRID, S.A."
"MATERIALES Y SERVICIOS CORPORATIVOS, S.L. (MSC)"
"HNOS. GRIJALBA, S.L."
"RECESTUR, S.L."
"SANEAMIENTOS LA MEZQUITA, S.L."
"NOVELEC LOS LLANOS, S.L."
"PLASTICS TÁRREGA, S.L."
"FRAMAGAR, S.L."
"ITMEE & MANTENIMIENTO, S.L. (ENFRIO SOLUCIONES)"
"CONSTRUCCIONES MONSER ALGUAZAS, S.L."
"MONSO FUSTA I CONSTRUCCIÓ, S.L."
"PROYELECTRO DISTRIBUCIÓN ACTIVA MULTISECTORIAL, S.L."
"CA'S SOCIS, S.L."
"CEGRE, S.L."
"FERRETERIA LLULL BCN, S.L."
"S'ENTRADA D'ES PORT, S.L."
"SANTA BÁRBARA CERÁMICAS Y ALQUILER, S.L."
"BÉTICA DE ELECTRICIDAD, S.L."
"OSVALD FERRETERIA, S.C.P"
"FERRESUR FERRETERÍA Y BRICOLAJE, S.L."
"DISTRIMEL ZARAGOZA, S.L."
"CERAMIQUES ENRIC, S.L."
"JOYFASA, S.L."
"DISCOIN DISTRIBUCIONES Y SUMINISTROS, S.L."
"FERRETERÍA SURESTE, S.L."
"HERRAJES EL METRO, S.L."
"MULTISECTORIAL ITEMO, S.L."
"SEBASTIÁN SALAZAR, S.L."
"MARIANO MATERIALES DE CONSTRUCCIÓN, S.L."
"ESEDE ELECTRIC, S.L."
"FERRETERÍA CHÁVEZ, S.L."
"SEIN HERRAMIENTAS SERVICIOS RESULTADOS, S.L."
"FELIPE Y NICOLÁS, S.L."
"FERRETERÍA ALMATRICHE, S.L."
"ELECTRO SHOW ROOM, S.L."
"GRUPOTEC SERVICIOS AVANZADOS, S.A."
"GUADACORTE, S.A."
"TRANSGRUMA, S.A."
